time_period,location,disease_cases,population,t2m_mean_c_month,tp_sum_mm_month
2003-07,VNM_ADM1_0039,86.0,1485596.4410924015,26.509435077981298,10.428553039955055
2003-08,VNM_ADM1_0039,137.0,1485596.4410924015,26.8765498119676,9.435699250785827
2003-09,VNM_ADM1_0039,165.0,1485596.4410924015,26.40670529558743,10.960288253605238
2003-10,VNM_ADM1_0039,157.0,1485596.4410924015,25.933891605735425,13.04765892933451
2003-11,VNM_ADM1_0039,104.0,1485596.4410924015,26.83259394982332,2.8149889824735674
2003-12,VNM_ADM1_0039,87.0,1485596.4410924015,26.18258312195434,0.6498882832268204
2004-01,VNM_ADM1_0039,45.0,1485596.4410924015,26.94000060648002,0.1019188973570066
2004-02,VNM_ADM1_0039,53.0,1485596.4410924015,26.704374206415316,0.0933623529679741
2004-03,VNM_ADM1_0039,43.0,1485596.4410924015,28.551991864701296,0.2800074203148042
2004-04,VNM_ADM1_0039,94.0,1485596.4410924015,30.070385052748087,1.1012725521910836
2004-05,VNM_ADM1_0039,120.0,1485596.4410924015,28.52828982131553,6.323798137262402
2004-06,VNM_ADM1_0039,219.0,1485596.4410924015,26.846183306178105,9.415427825123066
2004-07,VNM_ADM1_0039,334.0,1485596.4410924015,26.658561619603702,7.983879865946181
2004-08,VNM_ADM1_0039,254.0,1485596.4410924015,26.623728081697926,9.085240172357818
2004-09,VNM_ADM1_0039,299.0,1485596.4410924015,26.64862528731002,8.77251162438235
2004-10,VNM_ADM1_0039,337.0,1485596.4410924015,26.470328047380644,4.767429529201179
2004-11,VNM_ADM1_0039,224.0,1485596.4410924015,27.2920074682857,1.7250844438111048
2004-12,VNM_ADM1_0039,101.0,1485596.4410924015,26.61896824129653,0.1058621212870126
2005-01,VNM_ADM1_0039,40.0,1485596.4410924015,26.06192197430518,0.0667194311906889
2005-02,VNM_ADM1_0039,25.0,1485596.4410924015,27.60438907424028,0.0239118493020933
2005-03,VNM_ADM1_0039,16.0,1485596.4410924015,28.36086311231671,0.3469014805380534
2005-04,VNM_ADM1_0039,42.0,1485596.4410924015,29.7571457973546,1.0229033562972212
2005-05,VNM_ADM1_0039,29.0,1485596.4410924015,28.27432174887584,5.685129326723186
2005-06,VNM_ADM1_0039,71.0,1485596.4410924015,27.48350806362177,6.839627356132137
2005-07,VNM_ADM1_0039,153.0,1485596.4410924015,26.491465129384554,9.281033985744354
2005-08,VNM_ADM1_0039,183.0,1485596.4410924015,27.052410877445546,6.82932888476282
2005-09,VNM_ADM1_0039,227.0,1485596.4410924015,26.664901092809934,9.02058487295599
2005-10,VNM_ADM1_0039,323.0,1485596.4410924015,26.502021985453613,9.585753675463012
2005-11,VNM_ADM1_0039,184.0,1485596.4410924015,26.11670737667895,6.152525330688095
2005-12,VNM_ADM1_0039,118.0,1485596.4410924015,24.785465980676094,4.813195742548048
